seq,id,code,name,post_code,address,TEL,FAX,lat,lng,id,slug,title,sales_area,area,pref
21,20,1450028,千葉ハウスヤード,264-0001,千葉県千葉市若葉区金親町206-37 ,043-226-6002,043-236-2223, 35.6149119, 140.20088699999997,20,area03_shop10,千葉ハウスヤード,sales_area03,area02,area02>chiba
22,21,1450085,市原展示場 ,290-0171,千葉県市原市潤井戸2134-1,-,-, 35.5099206, 140.18184569999994,21,area03_shop11,市原展示場,sales_area03,area02,area02>chiba
23,22,1450047,川崎営業所,210-0854 ,神奈川県川崎市川崎区浅野町5-7,044-328-7072,044-333-0177, 35.5126607, 139.72326650000002,22,area03_shop12,川崎営業所,sales_area03,area02,area02>kanagawa
29,23,1450051,横浜営業所,245-0053,神奈川県横浜市戸塚区上矢部町2035-2,045-287-0093,045-287-0095, 35.4159048, 139.53171569999995,23,area03_shop13,横浜営業所,sales_area03,area02,area02>kanagawa
30,24,1450052,湘南ハウスヤード,253-0081 ,神奈川県茅ヶ崎市下寺尾995,0467-68-4250,0467-68-4251, 35.3682794, 139.40142130000004,24,area03_shop14,湘南ハウスヤード,sales_area03,area02,area02>kanagawa
27,25,1450030,相模原営業所,252-0244,神奈川県相模原市中央区田名3495-1,042-764-2635,042-764-2636, 35.5655428, 139.33985200000006,25,area03_shop15,相模原営業所,sales_area03,area02,area02>kanagawa
28,26,1450031,相模原ハウスヤード,252-0114,神奈川県相模原市緑区葉山島1267-1 ,042-783-5064,042-783-5065, 35.5447796, 139.32162159999996,26,area03_shop16,相模原ハウスヤード,sales_area03,area02,area02>kanagawa
24,27,1450029,多摩営業所,205-0023,東京都羽村市神明台4-3-3 ,042-554-3581,042-554-3583, 35.7592786, 139.32979249999994,27,area03_shop17,多摩営業所,sales_area03,area02,area02>tokyo
25,28,1450025,川越ハウスヤード,350-1150,埼玉県川越市中台南2-13-3,049-249-6525,049-210-2126, 35.8821891, 139.46435769999994,28,area03_shop18,川越ハウスヤード,sales_area03,area02,area02>saitama
26,29,1450087,東松山展示場,355-0032,埼玉県東松山市新宿町7-3,-,-, 36.0339303, 139.41795969999998,29,area03_shop19,東松山展示場,sales_area03,area02,area02>saitama
33,30,1450034,名古屋営業所,485-0826,愛知県小牧市東田中2087,0568-42-0082,0568-42-0083, 35.3000269, 136.94702860000007,30,area04_shop01,名古屋営業所,sales_area04,area03,area03>aichi
34,31,1450067,岐阜ハウスヤード,501-3941,岐阜県関市小屋名498-1,回線無し,0575-28-7540, 35.48957907256407, 136.8641919909851,31,area04_shop02,岐阜ハウスヤード,sales_area04,area03,area03>gifu
35,32,1450055,名古屋南営業所,490-1444 ,愛知県海部郡飛島村木場2-70,0567-57-3111,0567-57-3112, 35.05433433328498, 136.8193525442192,32,area04_shop04,名古屋南営業所,sales_area04,area03,area03>aichi
36,33,1450035,飛島ハウスヤード,490-1435,愛知県海部郡飛島村梅之郷中梅20 ,0567-56-6621,0567-52-0052, 35.07831329659904, 136.81429281226838,33,area04_shop05,飛島ハウスヤード,sales_area04,area03,area03>aichi
31,34,1450032,静岡営業所,421-1131,静岡県藤枝市岡部町内谷771-4,054-667-7015,054-667-7016, 34.902077, 138.28521890000002,34,area04_shop06,静岡営業所,sales_area04,area03,area03>shizuoka
32,35,1450033,静岡ハウスヤード,437-1506,静岡県菊川市河東今間4349-1 ,回線無し,0537-73-6412, 34.66636721177181, 138.0932339335602,35,area04_shop07,静岡ハウスヤード,sales_area04,area03,area03>shizuoka
40,36,1450037,大阪営業所,559-0011,大阪府大阪市住之江区北加賀屋3-4-45,06-6685-7702,06-6685-7703, 34.6251565, 135.47722769999996,36,area05_shop01,大阪営業所,sales_area05,area04,area04>osaka
41,37,1450038,大阪ハウスヤード,594-1157 ,大阪府和泉市あゆみ野1-2-2,回線無し,0725-53-5156, 34.4541864, 135.44685849999996,37,area05_shop02,大阪ハウスヤード,sales_area05,area04,area04>osaka
37,38,1450036,京滋営業所,529-1610,滋賀県蒲生郡日野町奥之池701-1,0748-52-8790,0748-52-8791, 35.0522867, 136.25317530000007,38,area05_shop03,京滋営業所,sales_area05,area04,area04>shiga
38,39,1450049,摂津営業所,566-0062,大阪府摂津市鳥飼上4-9-16,072-644-2121,072-644-2123, 34.7941777, 135.59807999999998,39,area05_shop04,摂津営業所,sales_area05,area04,area04>osaka
39,40,1450071,大和郡山ハウスヤード,639-1028,奈良県大和郡山市田中町818-1,回線無し,0743-52-4650, 34.6422822, 135.7646264,40,area05_shop05,大和郡山ハウスヤード,sales_area05,area04,area04>nara
42,41,1450104,伊丹営業所,664-0015,兵庫県伊丹市昆陽池1-72,072-781-7914,072-781-7915, 34.7836229, 135.39790319999997,41,area05_shop06,伊丹営業所,sales_area05,area04,area04>hyogo
43,42,1450070,神戸営業所,651-2146,兵庫県神戸市西区宮下1-3-11,078-929-6210,078-929-6211, 34.6873608, 134.9792658,42,area05_shop07,神戸営業所,sales_area05,area04,area04>hyogo
44,43,1450081,広島営業所,733-0002,広島県広島市西区楠木町4-3-1,082-509-5130,082-230-7005, 34.4166418, 132.4591994,43,area06_shop01,広島営業所,sales_area06,area05,area05>hiroshima
45,44,1450061,北九州営業所,805-0002,福岡県北九州市八幡東区枝光2-7-7 ,093-681-4350,093-681-4351, 33.8828556, 130.81252399999994,44,area07_shop01,北九州営業所,sales_area07,area07,area07>fukuoka
46,45,1450040,中間ハウスヤード,809-0003,福岡県中間市上底井野401,回線無し,093-245-8466, 33.8201433, 130.69151450000004,45,area07_shop02,中間ハウスヤード,sales_area07,area07,area07>fukuoka
47,46,1450039,福岡営業所,818-0114,福岡県太宰府市北谷892-3,092-918-3074,092-918-3075, 33.5474063, 130.54814880000004,46,area07_shop03,福岡営業所,sales_area07,area07,area07>fukuoka
48,47,1450056,朝倉ハウスヤード,838-0214,福岡県朝倉郡筑前町東小田848-1,回線無し,0946-42-6807, 33.4424862, 130.5830621,47,area07_shop04,朝倉ハウスヤード,sales_area07,area07,area07>fukuoka
49,48,1450064,福岡展示場,838-0214,福岡県朝倉郡筑前町二字古道95-3,-,-, 33.4749083, 130.56345199999998,48,area07_shop05,福岡展示場,sales_area07,area07,area07>fukuoka
50,49,1450063,柳川展示場,832-0801,福岡県柳川市三橋町起田313-1,-,-, 33.18097809603392, 130.45056315319516,49,area07_shop06,柳川展示場,sales_area07,area07,area07>fukuoka
51,50,1450083,久留米展示場,839-0825 ,福岡県久留米市善導寺町島1040-4,-,-, 33.325212035353125, 130.62194139444273,50,area07_shop07,久留米展示場,sales_area07,area07,area07>fukuoka
52,51,1450041,熊本営業所,861-8035 ,熊本県熊本市東区御領6-3-80,096-349-7755,096-349-7766, 32.8295735, 130.77543160000005,51,area07_shop08,熊本営業所,sales_area07,area07,area07>kumamoto
53,52,1450042,熊本ハウスヤード,861-8045,熊本県熊本市東区小山7-1629-1,回線無し,096-388-6112, 32.8329399, 130.80296240000007,52,area07_shop09,熊本ハウスヤード,sales_area07,area07,area07>kumamoto
58,53,1450086,八代展示場,869-4701,熊本県八代市千丁町太牟田字平島2270-3 ,-,-, 32.552073819500464, 130.6434776608521,53,area07_shop10,八代展示場,sales_area07,area07,area07>kumamoto
54,54,1450105,大分営業所,870-0951,大分県大分市大字下郡3037-4,097-504-8770,097-504-8771, 33.227453183715404, 131.62890681897966,54,area07_shop11,大分営業所,sales_area07,area07,area07>oita
55,55,1450043,大分ハウスヤード,879-7764,大分県大分市上戸次3613 ,回線無し,097-597-5707, 33.1202601, 131.65337060000002,55,area07_shop12,大分ハウスヤード,sales_area07,area07,area07>oita
59,56,1450088,中津展示場,871-0011,大分県中津市下池永字一丁畑933-5,-,-, 33.58604823359329, 131.22238535217593,56,area07_shop13,中津展示場,sales_area07,area07,area07>oita
56,57,1450103,鹿児島営業所,891-0131,鹿児島県鹿児島市谷山港2-4-31,099-210-9490,099-210-9491, 31.4952773, 130.5234355,57,area07_shop14,鹿児島営業所,sales_area07,area07,area07>kagoshima
57,58,1450044,霧島ハウスヤード,899-6401,鹿児島県霧島市溝辺町有川2139 ,回線無し,0995-64-9652, 31.8063878, 130.67752199999995,58,area07_shop15,霧島ハウスヤード,sales_area07,area07,area07>kagoshima
60,59,1450099,鹿屋展示場,893-0023,鹿児島県鹿屋市笠之原町1939-1,-,-, 39834440133015, 130.88875352327886,59,area07_shop16,鹿屋展示場,sales_area07,area07,area07>kagoshima
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
